description,word_no,valence_mean,valence_sd,arousal_mean,arousal_sd,dominance_mean,dominance_sd,word_frequency
milk,876,5.9500000000000002,2.1600000000000001,3.6800000000000002,2.5699999999999998,5.8300000000000001,1.5,49
modest,280,5.7599999999999998,1.28,3.98,2.2400000000000002,4.96,2.1600000000000001,29
moment,281,5.7599999999999998,1.6499999999999999,3.8300000000000001,2.29,4.8099999999999996,1.9199999999999999,246
month,283,5.1500000000000004,1.0900000000000001,4.0300000000000002,1.77,4.8499999999999996,1.1399999999999999,130
museum,889,5.54,1.8600000000000001,3.6000000000000001,2.1299999999999999,5.3200000000000003,1.6799999999999999,32
mushroom,567,5.7800000000000002,2.2200000000000002,4.7199999999999998,2.3300000000000001,5.5199999999999996,2.1000000000000001,2
mystic,891,6.0,2.21,4.8399999999999999,2.5699999999999998,5.5199999999999996,1.9299999999999999,3
name,893,5.5499999999999998,2.2400000000000002,4.25,2.4700000000000002,5.1600000000000001,2.0800000000000001,294
news,901,5.2999999999999998,1.6699999999999999,5.1699999999999999,2.1099999999999999,4.5999999999999996,1.8799999999999999,102
nonchalant,296,4.7400000000000002,1.1100000000000001,3.1200000000000001,1.9299999999999999,4.3099999999999996,1.54,1
nonsense,905,4.6100000000000003,1.6299999999999999,4.1699999999999999,2.02,4.9000000000000004,1.55,13
nun,909,4.9299999999999997,1.8899999999999999,2.9300000000000002,1.8,4.9299999999999997,1.6899999999999999,2
nursery,910,5.7300000000000004,2.2999999999999998,4.04,2.7400000000000002,5.1799999999999997,2.23,13
odd,916,4.8200000000000003,2.04,4.2699999999999996,2.46,4.7699999999999996,1.8899999999999999,44
office,568,5.2400000000000002,1.5900000000000001,4.0800000000000001,1.9199999999999999,5.5899999999999999,1.8899999999999999,255
orchestra,299,6.0199999999999996,1.8899999999999999,3.52,2.29,5.1699999999999999,2.1400000000000001,60
owl,522,5.7999999999999998,1.3100000000000001,3.98,1.8700000000000001,5.8200000000000003,1.6200000000000001,2
paint,924,5.6200000000000001,1.72,4.0999999999999996,2.3599999999999999,5.75,1.71,37
pamphlet,925,4.79,1.05,3.6200000000000001,2.02,4.6299999999999999,1.48,3
paper,303,5.2000000000000002,1.21,2.5,1.8500000000000001,4.4699999999999998,1.6699999999999999,157
part,927,5.1100000000000003,1.78,3.8199999999999998,2.2400000000000002,4.75,1.5900000000000001,500
passage,928,5.2800000000000002,1.4399999999999999,4.3600000000000003,2.1299999999999999,5.0199999999999996,1.6200000000000001,49
patent,307,5.29,1.0800000000000001,3.5,1.8400000000000001,4.9000000000000004,1.79,35
patient,929,5.29,1.8899999999999999,4.21,2.3700000000000001,4.9000000000000004,2.3100000000000001,86
pencil,309,5.2199999999999998,0.68000000000000005,3.1400000000000001,1.8999999999999999,4.7800000000000002,1.73,34
penis,932,5.9000000000000004,1.72,5.54,2.6299999999999999,5.9199999999999999,2.54,.
phase,936,5.1699999999999999,0.79000000000000004,3.98,1.8200000000000001,4.6500000000000004,1.72,72
pig,937,5.0700000000000003,1.97,4.2000000000000002,2.4199999999999999,5.3399999999999999,1.8799999999999999,8
plant,316,5.9800000000000004,1.8300000000000001,3.6200000000000001,2.25,4.71,2.1200000000000001,125
poetry,318,5.8600000000000003,1.9099999999999999,4.0,2.8500000000000001,5.3099999999999996,1.8100000000000001,88
poster,942,5.3399999999999999,1.75,3.9300000000000002,2.5600000000000001,4.9100000000000001,1.8700000000000001,4
prairie,325,5.75,1.4299999999999999,3.4100000000000001,2.1699999999999999,4.6200000000000001,2.1299999999999999,21
privacy,330,5.8799999999999999,1.5,4.1200000000000001,1.8300000000000001,5.6600000000000001,1.78,12
quart,951,5.3899999999999997,2.0099999999999998,3.5899999999999999,2.5099999999999998,5.2000000000000002,1.8600000000000001,3
quiet,339,5.5800000000000001,1.8300000000000001,2.8199999999999998,2.1299999999999999,4.4199999999999999,2.2999999999999998,76
radiator,955,4.6699999999999999,1.05,4.0199999999999996,1.9399999999999999,4.8099999999999996,1.3799999999999999,4
rain,569,5.0800000000000001,2.5099999999999998,3.6499999999999999,2.3500000000000001,4.7800000000000002,1.6799999999999999,70
rattle,346,5.0300000000000002,1.23,4.3600000000000003,2.1800000000000002,4.1699999999999999,1.5600000000000001,5
razor,957,4.8099999999999996,2.1600000000000001,5.3600000000000003,2.4399999999999999,4.9100000000000001,1.95,15
repentant,351,5.5300000000000002,1.8600000000000001,4.6900000000000004,1.98,5.4199999999999999,2.0600000000000001,1
reptile,958,4.7699999999999996,2.0,5.1799999999999997,2.1899999999999999,4.7699999999999996,2.02,.
reserved,353,4.8799999999999999,1.8300000000000001,3.27,2.0499999999999998,4.2999999999999998,1.9299999999999999,27
reverent,356,5.3499999999999996,1.21,4.0,1.6000000000000001,4.6699999999999999,1.6799999999999999,3
rock,965,5.5599999999999996,1.3799999999999999,4.5199999999999996,2.3700000000000001,5.1500000000000004,2.0099999999999998,75
rough,966,4.7400000000000002,2.0,5.3300000000000001,2.04,4.8099999999999996,1.7,41
runner,571,5.6699999999999999,1.9099999999999999,4.7599999999999998,2.3999999999999999,5.4699999999999998,1.8400000000000001,1
salad,369,5.7400000000000002,1.6200000000000001,3.8100000000000001,2.29,5.4699999999999998,1.6799999999999999,9
salute,370,5.9199999999999999,1.5700000000000001,5.3099999999999996,2.23,5.46,2.0499999999999998,3
