description,word_no,valence_mean,valence_sd,arousal_mean,arousal_sd,dominance_mean,dominance_sd,word_frequency
justice,242,7.7800000000000002,1.3500000000000001,5.4699999999999998,2.54,6.4699999999999998,2.2599999999999998,114
kids,835,6.9100000000000001,1.99,5.2699999999999996,2.3599999999999999,5.0700000000000003,2.0299999999999998,32
kind,245,7.5899999999999999,1.6699999999999999,4.46,2.5499999999999998,5.9500000000000002,1.9299999999999999,313
kindness,246,7.8200000000000003,1.3899999999999999,4.2999999999999998,2.6200000000000001,5.6699999999999999,2.6299999999999999,5
king,247,7.2599999999999998,1.6699999999999999,5.5099999999999998,2.77,7.3799999999999999,2.1000000000000001,88
kiss,248,8.2599999999999998,1.54,7.3200000000000003,2.0299999999999998,6.9299999999999997,2.2799999999999998,17
kitten,517,6.8600000000000003,2.1299999999999999,5.0800000000000001,2.4500000000000002,6.8600000000000003,2.0099999999999998,5
knowledge,249,7.5800000000000001,1.3200000000000001,5.9199999999999999,2.3199999999999998,6.7800000000000002,2.4100000000000001,145
lake,250,6.8200000000000003,1.54,3.9500000000000002,2.4399999999999999,4.9000000000000004,2.1000000000000001,54
leader,844,7.6299999999999999,1.5900000000000001,6.2699999999999996,2.1800000000000002,7.8799999999999999,1.6000000000000001,74
learn,252,7.1500000000000004,1.49,5.3899999999999997,2.2200000000000002,6.3399999999999999,2.1699999999999999,84
leisurely,253,6.8799999999999999,1.8100000000000001,3.7999999999999998,2.3799999999999999,5.1500000000000004,1.8999999999999999,5
letter,846,6.6100000000000003,1.5900000000000001,4.9000000000000004,2.3700000000000001,5.7300000000000004,1.48,145
liberty,255,7.9800000000000004,1.22,5.5999999999999996,2.6499999999999999,6.29,2.4399999999999999,46
life,258,7.2699999999999996,1.8799999999999999,6.0199999999999996,2.6200000000000001,5.7199999999999998,2.5099999999999998,715
lively,849,7.2000000000000002,1.97,5.5300000000000002,2.8999999999999999,6.0899999999999999,1.95,26
lottery,853,6.5700000000000003,2.04,5.3600000000000003,2.4500000000000002,4.8099999999999996,2.1099999999999999,1
loyal,265,7.5499999999999998,1.8999999999999999,5.1600000000000001,2.4199999999999999,6.9100000000000001,2.23,18
lucky,266,8.1699999999999999,1.0600000000000001,6.5300000000000002,2.3399999999999999,6.0499999999999998,2.25,21
luscious,267,7.5,1.0800000000000001,5.3399999999999999,2.5099999999999998,5.6799999999999997,1.8400000000000001,2
lust,519,7.1200000000000001,1.6200000000000001,6.8799999999999999,1.8500000000000001,5.4900000000000002,2.27,5
luxury,268,7.8799999999999999,1.49,4.75,2.9100000000000001,6.4000000000000004,2.4500000000000002,21
magical,858,7.46,1.6399999999999999,5.9500000000000002,2.3599999999999999,5.7300000000000004,2.1899999999999999,12
mail,859,6.8799999999999999,1.74,5.6299999999999999,2.3599999999999999,5.6699999999999999,1.79,47
man,537,6.7300000000000004,1.7,5.2400000000000002,2.3100000000000001,5.5300000000000002,2.23,1207
masterful,271,7.0899999999999999,1.78,5.2000000000000002,2.8500000000000001,7.1799999999999997,2.5600000000000001,2
melody,870,7.0700000000000003,1.79,4.9800000000000004,2.52,5.46,1.78,21
memories,871,7.4800000000000004,1.6100000000000001,6.0999999999999996,2.1000000000000001,5.8799999999999999,1.9199999999999999,15
memory,274,6.6200000000000001,1.5,5.4199999999999999,2.25,5.1100000000000003,2.1200000000000001,76
merry,872,7.9000000000000004,1.49,5.9000000000000004,2.4199999999999999,6.6399999999999997,1.6599999999999999,8
millionaire,278,8.0299999999999994,1.4199999999999999,6.1399999999999997,2.7000000000000002,6.9699999999999998,2.3999999999999999,2
mind,877,6.6799999999999997,1.8400000000000001,5.0,2.6800000000000002,6.3700000000000001,2.1899999999999999,325
mobility,881,6.8300000000000001,1.79,5.0,2.1800000000000002,6.4299999999999997,1.48,8
money,282,7.5899999999999999,1.3999999999999999,5.7000000000000002,2.6600000000000001,6.25,2.3300000000000001,265
mountain,287,6.5899999999999999,1.6599999999999999,5.4900000000000002,2.4300000000000002,5.46,2.3599999999999999,33
movie,288,6.8600000000000003,1.8100000000000001,4.9299999999999997,2.54,5.0,1.79,29
muffin,888,6.5700000000000003,2.04,4.7599999999999998,2.4199999999999999,5.5099999999999998,1.6299999999999999,.
muscular,290,6.8200000000000003,1.6299999999999999,5.4699999999999998,2.2000000000000002,6.5800000000000001,2.2799999999999998,16
music,291,8.1300000000000008,1.0900000000000001,5.3200000000000003,3.1899999999999999,6.3899999999999997,2.4399999999999999,216
natural,896,6.5899999999999999,1.5700000000000001,4.0899999999999999,2.3700000000000001,5.5700000000000003,1.6899999999999999,156
nature,293,7.6500000000000004,1.3700000000000001,4.3700000000000001,2.5099999999999998,4.9500000000000002,2.7200000000000002,191
nectar,294,6.9000000000000004,1.53,3.8900000000000001,2.48,4.54,2.0600000000000001,3
nice,902,6.5499999999999998,2.4399999999999999,4.3799999999999999,2.6899999999999999,5.5800000000000001,2.2000000000000002,75
nude,520,6.8200000000000003,1.6299999999999999,6.4100000000000001,2.0899999999999999,5.96,2.29,20
ocean,297,7.1200000000000001,1.72,4.9500000000000002,2.79,5.5300000000000002,2.75,34
optimism,918,6.9500000000000002,2.2400000000000002,5.3399999999999999,2.5800000000000001,6.6100000000000003,2.0600000000000001,15
outdoors,521,7.4699999999999998,1.8,5.9199999999999999,2.5499999999999998,6.2699999999999996,2.2400000000000002,6
outstanding,922,7.75,1.75,6.2400000000000002,2.5899999999999999,6.4000000000000004,2.29,37
palace,302,7.1900000000000004,1.78,5.0999999999999996,2.75,5.6900000000000004,2.1699999999999999,38
party,305,7.8600000000000003,1.8300000000000001,6.6900000000000004,2.8399999999999999,5.8300000000000001,2.46,216
passion,306,8.0299999999999994,1.27,7.2599999999999998,2.5699999999999998,6.1299999999999999,2.2400000000000002,28
pasta,524,6.6900000000000004,1.6399999999999999,4.9400000000000004,2.04,5.7999999999999998,1.47,.
patriot,930,6.71,1.6899999999999999,5.1699999999999999,2.5299999999999998,5.9000000000000004,1.54,10
